"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"192","ENSG00000095637",48.7034805582439,1.51475708441373,0.408385419316393,3.70913605816123,0.000207967656831049,0.00290828269871306,10580,"SORBS1","10",95311771,95561414,-1,"protein_coding","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]"
"990","ENSG00000166526",426.47989301805,-0.503828105564514,0.152367083427918,-3.30667289961526,0.000944110661702535,0.00997109900382489,7551,"ZNF3","7",100064033,100082548,-1,"protein_coding","zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:13089]"
"486","ENSG00000124766",1291.40790053461,-2.33654843323614,0.25161874980183,-9.28606645997711,1.60095764579569e-20,4.40845519010468e-18,6659,"SOX4","6",21592769,21598619,1,"protein_coding","SRY (sex determining region Y)-box 4 [Source:HGNC Symbol;Acc:HGNC:11200]"
"896","ENSG00000162441",350.726392062889,-0.423281559553735,0.127341680605192,-3.32398282747712,0.000887416601803207,0.00942491194551863,84328,"LZIC","1",9922113,9943407,-1,"protein_coding","leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]"
"310","ENSG00000106948",547.479212078056,-0.910375360780805,0.223485026087087,-4.07354075000109,4.63037452729635e-05,0.000811655349721102,80709,"AKNA","9",114334156,114394405,-1,"protein_coding","AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]"
"1247","ENSG00000186918",3021.31730787727,0.70247567128227,0.20697319721294,3.39404174425321,0.000688691938729902,0.00768058866867774,55893,"ZNF395","8",28345585,28402701,-1,"protein_coding","zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]"
"1408","ENSG00000246705",700.491044670406,0.777323295892658,0.195855396226635,3.9688633086891,7.22162901071737e-05,0.00120056609623836,55766,"H2AFJ","12",14774383,14778002,1,"protein_coding","H2A histone family, member J [Source:HGNC Symbol;Acc:HGNC:14456]"
"1153","ENSG00000177570",100.213918870975,-1.83168208794055,0.322078465448251,-5.68706785593789,1.2923911440162e-08,5.89556140847147e-07,401474,"SAMD12","8",118189459,118621995,-1,"protein_coding","sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750]"
"936","ENSG00000164070",633.667353672745,-1.38323961203174,0.254205642007635,-5.44141979346862,5.2857590663219e-08,2.04216380253687e-06,22824,"HSPA4L","4",127781821,127840733,1,"protein_coding","heat shock 70kDa protein 4-like [Source:HGNC Symbol;Acc:HGNC:17041]"
"1322","ENSG00000198369",897.541323884179,0.622354083570757,0.10592071931152,5.87565952739022,4.2116315609459e-09,2.09819605231992e-07,200734,"SPRED2","2",65310851,65432637,-1,"protein_coding","sprouty-related, EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]"
"471","ENSG00000123411",243.779202676457,-0.571781293813126,0.142485793135473,-4.01290038277349,5.99772287714692e-05,0.00102292244340529,64375,"IKZF4","12",56007659,56038435,1,"protein_coding","IKAROS family zinc finger 4 (Eos) [Source:HGNC Symbol;Acc:HGNC:13179]"
"718","ENSG00000144233",695.220877963926,0.311278342802766,0.0830144377490064,3.74968922567318,0.000177053853521596,0.00255866470571047,83607,"AMMECR1L","2",127861630,127885922,-1,"protein_coding","AMMECR1-like [Source:HGNC Symbol;Acc:HGNC:28658]"
"1281","ENSG00000196391",54.1673080829182,-1.45517859465498,0.42585434616942,-3.41708052939785,0.000632965534984368,0.00718280445455315,342132,"ZNF774","15",90352245,90369146,1,"protein_coding","zinc finger protein 774 [Source:HGNC Symbol;Acc:HGNC:33108]"
"606","ENSG00000135776",309.204225765255,0.510372655044442,0.14170705105755,3.60160381036487,0.000316260087127863,0.00411491324703736,23456,"ABCB10","1",229516582,229558695,-1,"protein_coding","ATP-binding cassette, sub-family B (MDR/TAP), member 10 [Source:HGNC Symbol;Acc:HGNC:41]"
"949","ENSG00000164402",2021.3289302764,-0.331176779908387,0.0769455310664451,-4.30404177238577,1.67710020619212e-05,0.000341853063563657,23176,"SEPT8","5",132750817,132807241,-1,"protein_coding","septin 8 [Source:HGNC Symbol;Acc:HGNC:16511]"
"844","ENSG00000157107",877.208429253503,0.486059900421777,0.14010388659789,3.46928206079544,0.000521851266849492,0.00621828279813969,115548,"FCHO2","5",72955981,73090522,1,"protein_coding","FCH domain only 2 [Source:HGNC Symbol;Acc:HGNC:25180]"
"1426","ENSG00000274047",504.6864889638,-0.600717864609912,0.121830098790485,-4.93078369445455,8.19003816826053e-07,2.32716938195696e-05,11276,"SYNRG","CHR_HSCHR17_7_CTG4",37519433,37614077,-1,"protein_coding","synergin, gamma [Source:HGNC Symbol;Acc:HGNC:557]"
"923","ENSG00000163513",13345.3548115132,1.4709020402388,0.168754013626688,8.71624922351582,2.87569921996098e-18,5.96609105291905e-16,7048,"TGFBR2","3",30606502,30694142,1,"protein_coding","transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:HGNC:11773]"
"411","ENSG00000116194",246.268169869322,2.12759997544338,0.450015305314886,4.72783914305903,2.26921840120518e-06,5.82496825190719e-05,9068,"ANGPTL1","1",178849705,178871052,-1,"protein_coding","angiopoietin-like 1 [Source:HGNC Symbol;Acc:HGNC:489]"
"1177","ENSG00000180957",1134.41233389616,0.300419003915062,0.0871946117416535,3.44538496031343,0.000570246637557003,0.00661985795961521,23760,"PITPNB","22",27851669,27920134,-1,"protein_coding","phosphatidylinositol transfer protein, beta [Source:HGNC Symbol;Acc:HGNC:9002]"
"1196","ENSG00000182809",823.290613914174,0.750844522994845,0.144757032202772,5.18692951609481,2.13789597597906e-07,7.21123264057972e-06,1397,"CRIP2","14",105472962,105480170,1,"protein_coding","cysteine-rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]"
"901","ENSG00000162616",1478.62500195149,1.36934253652349,0.163267773777361,8.38709627039311,4.98296928700401e-17,8.57580339223589e-15,11080,"DNAJB4","1",77979175,78017964,1,"protein_coding","DnaJ (Hsp40) homolog, subfamily B, member 4 [Source:HGNC Symbol;Acc:HGNC:14886]"
"928","ENSG00000163719",607.167514592895,0.564578369773068,0.102771956804942,5.49350608205913,3.94031530777612e-08,1.58712966319865e-06,64419,"MTMR14","3",9649433,9702394,1,"protein_coding","myotubularin related protein 14 [Source:HGNC Symbol;Acc:HGNC:26190]"
"1418","ENSG00000259171",877.988303929703,0.759986994046281,0.203848190951504,3.72820082679607,0.00019285167233275,0.00273477394895084,NA,"RP11-903H12.5","14",20684587,20700576,1,"protein_coding","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:V9GYS4]"
"349","ENSG00000110442",446.622206050659,-0.433283578769921,0.127153948067712,-3.40755112487101,0.000655486277611535,0.00739275158312112,29099,"COMMD9","11",36269284,36289449,-1,"protein_coding","COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]"
"436","ENSG00000118729",12.5317994565874,-4.73199440629609,1.3557039417782,-3.49043346446968,0.000482237676531197,0.00582022158589973,845,"CASQ2","1",115700007,115768781,-1,"protein_coding","calsequestrin 2 (cardiac muscle) [Source:HGNC Symbol;Acc:HGNC:1513]"
"129","ENSG00000077684",1762.18309743193,1.18958336690036,0.11870541582952,10.0213065982498,1.22867740308615e-23,5.02927547830805e-21,79960,"JADE1","4",128809623,128875224,1,"protein_coding","jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]"
"269","ENSG00000103485",876.983547374098,-1.12050796312632,0.130429554341561,-8.59090540317263,8.62866536077262e-18,1.67539919088335e-15,23475,"QPRT","16",29679008,29698699,1,"protein_coding","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]"
"984","ENSG00000166340",5992.00422025319,-0.259603491182825,0.07716079672204,-3.3644480385293,0.000766969247958448,0.00838077147210007,1200,"TPP1","11",6612763,6619461,-1,"protein_coding","tripeptidyl peptidase I [Source:HGNC Symbol;Acc:HGNC:2073]"
"1234","ENSG00000185650",4004.11127451906,-0.68358011733648,0.17694956787986,-3.86313527366507,0.00011194097784514,0.00174418324018996,677,"ZFP36L1","14",68787660,68796253,-1,"protein_coding","ZFP36 ring finger protein-like 1 [Source:HGNC Symbol;Acc:HGNC:1107]"
"973","ENSG00000165821",387.894084894386,-0.684202390455635,0.145268366770008,-4.70992003055201,2.47814005701164e-06,6.28667188667357e-05,6297,"SALL2","14",21521081,21537216,-1,"protein_coding","spalt-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]"
"263","ENSG00000103175",274.850806295149,1.66418194807356,0.377117663929638,4.41289843263365,1.01995853182741e-05,0.000219110240631576,58189,"WFDC1","16",84294646,84329851,1,"protein_coding","WAP four-disulfide core domain 1 [Source:HGNC Symbol;Acc:HGNC:15466]"
"1357","ENSG00000206172",10.1593742593762,-2.71095812607622,0.795704477175098,-3.40699116800328,0.00065683252392639,0.0074015837610604,3039,"HBA1","16",176680,177522,1,"protein_coding","hemoglobin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]"
"849","ENSG00000157216",1560.71486444342,0.709097521505145,0.196155641315464,3.61497388884549,0.000300377894828594,0.00394213450362137,23648,"SSBP3","1",54225432,54413479,-1,"protein_coding","single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]"
"1374","ENSG00000213846",154.560814709829,-0.982647947668176,0.265315073482509,-3.70370192228433,0.000212475907719873,0.00295495649441458,NA,"AC098614.2","3",27632976,27633720,1,"processed_pseudogene",""
"1295","ENSG00000196924",73739.3249566411,0.683272430499594,0.163838866792357,4.17039280041864,3.04075067449083e-05,0.000571366860609971,2316,"FLNA","X",154348524,154374638,-1,"protein_coding","filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
"666","ENSG00000139269",17.6948576637233,-2.12988374594168,0.476164583527722,-4.47299908397676,7.7130108006437e-06,0.000172291369580751,83729,"INHBE","12",57452323,57459280,1,"protein_coding","inhibin, beta E [Source:HGNC Symbol;Acc:HGNC:24029]"
"545","ENSG00000131386",13960.2143787931,1.56065088215787,0.285893338578208,5.45885710355907,4.79209234835201e-08,1.87052161380905e-06,117248,"GALNT15","3",16174649,16231992,1,"protein_coding","polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]"
"855","ENSG00000158079",310.647032326585,0.965064856280498,0.145496452473501,6.63290987425457,3.29132793133056e-11,2.49235807600006e-09,138639,"PTPDC1","9",94030794,94109856,1,"protein_coding","protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]"
"733","ENSG00000145685",2024.86056126334,-1.17063317923098,0.168798645841822,-6.93508631774191,4.05973200813083e-12,3.51340807217951e-10,10184,"LHFPL2","5",78485215,78770021,-1,"protein_coding","lipoma HMGIC fusion partner-like 2 [Source:HGNC Symbol;Acc:HGNC:6588]"
"1175","ENSG00000180891",1105.72890760602,0.649005118721362,0.146621784384891,4.42638944440673,9.58234579980336e-06,0.000206388034498284,404093,"CUEDC1","17",57861243,57955323,-1,"protein_coding","CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]"
"846","ENSG00000157150",194.419230565533,2.90878359178716,0.268518080634774,10.8327289727039,2.40867868515786e-27,1.40305533410445e-24,7079,"TIMP4","3",12153051,12159351,-1,"protein_coding","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
"325","ENSG00000108797",1888.70438293358,-0.623094326084228,0.14868620493325,-4.19066668870831,2.78135993502557e-05,0.000531194151525374,8506,"CNTNAP1","17",42682613,42699814,1,"protein_coding","contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]"
"794","ENSG00000151332",333.214476825215,-0.525356525893238,0.118495719763545,-4.43354854455144,9.26946239038423e-06,0.000200551439860527,51562,"MBIP","14",36298558,36320676,-1,"protein_coding","MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]"
"485","ENSG00000124762",8083.33868783847,-0.982095709908571,0.234465945027287,-4.18864969833582,2.8061917455773e-05,0.000533916758627742,1026,"CDKN1A","6",36676460,36687339,1,"protein_coding","cyclin-dependent kinase inhibitor 1A (p21, Cip1) [Source:HGNC Symbol;Acc:HGNC:1784]"
"683","ENSG00000141298",2097.02267358758,1.17251717872442,0.17771738632504,6.5976503648322,4.17724948887447e-11,3.08607041507336e-09,85464,"SSH2","17",29625938,29930276,-1,"protein_coding","slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]"
"3","ENSG00000003402",3368.72335143759,1.16249955330816,0.126132957467341,9.21646155493622,3.07066097794648e-20,7.88223059508466e-18,8837,"CFLAR","2",201116104,201176687,1,"protein_coding","CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"371","ENSG00000112787",514.235457482987,0.692137436584229,0.149549360644569,4.62815376542609,3.68940048140868e-06,9.04141914092791e-05,57666,"FBRSL1","12",132489551,132585188,1,"protein_coding","fibrosin-like 1 [Source:HGNC Symbol;Acc:HGNC:29308]"
"850","ENSG00000157368",53.9735372844147,-2.11542114333184,0.507412118064144,-4.16903946126179,3.05886030818502e-05,0.000572638311093475,146433,"IL34","16",70579895,70660682,1,"protein_coding","interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]"
"1044","ENSG00000169359",889.565067690502,0.386289225633063,0.105504282055399,3.66136063965849,0.000250879315700391,0.00338039789704842,9197,"SLC33A1","3",155821024,155854429,-1,"protein_coding","solute carrier family 33 (acetyl-CoA transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:95]"
"1293","ENSG00000196843",482.065854464635,0.723279352973662,0.212837477105837,3.39827065613073,0.000678132944522444,0.00759639308046776,10865,"ARID5A","2",96536743,96552638,1,"protein_coding","AT rich interactive domain 5A (MRF1-like) [Source:HGNC Symbol;Acc:HGNC:17361]"
"522","ENSG00000128699",1837.30741529404,1.04145067211951,0.164158006275498,6.34419664168982,2.23589091251982e-10,1.44711828504755e-08,94101,"ORMDL1","2",189770323,189784371,-1,"protein_coding","ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]"
"699","ENSG00000143127",254.825348705396,3.1123225950086,0.561388517116155,5.54397266797789,2.95685010078441e-08,1.22689026784603e-06,8515,"ITGA10","1",145891208,145910189,-1,"protein_coding","integrin, alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]"
"1145","ENSG00000176894",116.894501982781,0.894155825518215,0.191017794415735,4.68100800898242,2.85467785419e-06,7.12258584871624e-05,5827,"PXMP2","12",132687606,132704991,1,"protein_coding","peroxisomal membrane protein 2, 22kDa [Source:HGNC Symbol;Acc:HGNC:9716]"
"947","ENSG00000164305",525.121783907805,0.785259030003786,0.153809597031079,5.10539683583667,3.30101039286381e-07,1.05472156961862e-05,836,"CASP3","4",184627696,184649509,-1,"protein_coding","caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1504]"
"851","ENSG00000157510",502.245335458258,1.82248126695427,0.188083908309085,9.6897245667573,3.33426629670588e-22,1.14766961508206e-19,134265,"AFAP1L1","5",149271871,149341802,1,"protein_coding","actin filament associated protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:26714]"
"108","ENSG00000072958",2239.04534337653,1.10184712541411,0.123251688340916,8.93981364674199,3.89827195957839e-19,8.81184012355443e-17,8907,"AP1M1","19",16197578,16245907,1,"protein_coding","adaptor-related protein complex 1, mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:13667]"
"27","ENSG00000019995",2150.37632011757,0.983999371260504,0.11118231521221,8.85032272787605,8.72665747724673e-19,1.94360628666032e-16,54764,"ZRANB1","10",124942123,124988189,1,"protein_coding","zinc finger, RAN-binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]"
"19","ENSG00000012048",241.117643587367,-1.40352651198162,0.158919200987182,-8.83169877058985,1.0309778595597e-18,2.262921693193e-16,672,"BRCA1","17",43044295,43125483,-1,"protein_coding","breast cancer 1, early onset [Source:HGNC Symbol;Acc:HGNC:1100]"
"822","ENSG00000154654",1359.99538473703,-0.924777926962784,0.215016179777551,-4.30096901507381,1.70052839566666e-05,0.000345234618664498,4685,"NCAM2","21",20998315,21543329,1,"protein_coding","neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]"
"1226","ENSG00000185222",2805.05518718396,0.682568137713053,0.129945533476692,5.25272488750437,1.49865306136148e-07,5.22974668532711e-06,51186,"WBP5","X",103356445,103358469,1,"protein_coding","WW domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:30084]"
"873","ENSG00000159423",479.420053323307,0.897358634386883,0.169433976119396,5.29621422420338,1.18228129932834e-07,4.25312358155054e-06,8659,"ALDH4A1","1",18871430,18902781,-1,"protein_coding","aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]"
"919","ENSG00000163399",6567.65788506581,0.394808742451949,0.0773947482789729,5.10123427275508,3.37445552055153e-07,1.07140731360069e-05,476,"ATP1A1","1",116372668,116410261,1,"protein_coding","ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:HGNC Symbol;Acc:HGNC:799]"
"663","ENSG00000138802",1247.33880424721,0.491433411199268,0.124879929698038,3.9352473402857,8.3111058074986e-05,0.00135930558806227,10427,"SEC24B","4",109433772,109540896,1,"protein_coding","SEC24 family member B [Source:HGNC Symbol;Acc:HGNC:10704]"
"1269","ENSG00000189221",2383.75370672631,3.34154406813442,0.212409078964216,15.7316442612953,9.17959790505476e-56,3.47562525680136e-52,4128,"MAOA","X",43654907,43746824,1,"protein_coding","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
"1105","ENSG00000172840",387.9966503284,0.521060191497172,0.15673649973572,3.32443427265348,0.000885981147437202,0.00941626980907819,57546,"PDP2","16",66878589,66895754,1,"protein_coding","pyruvate dehyrogenase phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:30263]"
"1198","ENSG00000182916",405.721142919711,-0.496174363010468,0.128838079093824,-3.85114685425523,0.000117565970093007,0.00182058958799448,56849,"TCEAL7","X",103330196,103332326,1,"protein_coding","transcription elongation factor A (SII)-like 7 [Source:HGNC Symbol;Acc:HGNC:28336]"
"268","ENSG00000103404",302.484860302797,0.675830256899329,0.131587874998444,5.13596147750938,2.80705158714296e-07,9.10338250262958e-06,57478,"USP31","16",23061406,23149270,-1,"protein_coding","ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]"
"1117","ENSG00000173548",2996.2923112008,0.371577412372946,0.112022549782849,3.31698763412573,0.000909936438059277,0.00964379800868282,257364,"SNX33","15",75647906,75662301,1,"protein_coding","sorting nexin 33 [Source:HGNC Symbol;Acc:HGNC:28468]"
"1045","ENSG00000169410",1124.71995706053,0.356049687216077,0.0935906132946449,3.80433116828875,0.000142187850644693,0.00213211385941967,5780,"PTPN9","15",75463251,75579289,-1,"protein_coding","protein tyrosine phosphatase, non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]"
"1302","ENSG00000197062",362.886056018922,-0.56408763360972,0.126326335176881,-4.46532097064233,7.99488024300768e-06,0.000177606425765548,7741,"ZSCAN26","6",28267010,28278224,1,"protein_coding","zinc finger and SCAN domain containing 26 [Source:HGNC Symbol;Acc:HGNC:12978]"
"745","ENSG00000146411",1030.22429994008,-0.900330382056048,0.181520708803391,-4.95993205398518,7.05178404642395e-07,2.02271343528581e-05,154091,"SLC2A12","6",133988697,134052636,-1,"protein_coding","solute carrier family 2 (facilitated glucose transporter), member 12 [Source:HGNC Symbol;Acc:HGNC:18067]"
"204","ENSG00000099849",41.6031871944642,1.34381538473933,0.332013115427251,4.04747680828825,5.17727098178514e-05,0.000897136945299039,8045,"RASSF7","11",560404,564021,1,"protein_coding","Ras association (RalGDS/AF-6) domain family (N-terminal) member 7 [Source:HGNC Symbol;Acc:HGNC:1166]"
"516","ENSG00000128309",604.970616828703,0.959909859683685,0.181581505466188,5.28638562181338,1.24756760314398e-07,4.44574384696837e-06,4357,"MPST","22",37019635,37029822,1,"protein_coding","mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]"
"579","ENSG00000134243",5569.87422804189,2.21273107000839,0.263698225268294,8.39114888906475,4.8141418461744e-17,8.3804802598059e-15,6272,"SORT1","1",109309568,109397951,-1,"protein_coding","sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]"
"1403","ENSG00000243364",78.5511692230813,-0.875465248314749,0.248627103069936,-3.52119796074079,0.000429601769863789,0.0052983052154618,1945,"EFNA4","1",155063731,155069553,1,"protein_coding","ephrin-A4 [Source:HGNC Symbol;Acc:HGNC:3224]"
"578","ENSG00000134056",288.808571872909,0.603969846600905,0.130541004544584,4.62666767969162,3.71596035925663e-06,9.09179638787427e-05,92259,"MRPS36","5",69217760,69230129,1,"protein_coding","mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:HGNC:16631]"
"897","ENSG00000162458",1748.75758124992,0.406878207148166,0.113259435055352,3.59244425816989,0.000327590743422351,0.00422243558223958,54751,"FBLIM1","1",15756607,15786594,1,"protein_coding","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]"
"786","ENSG00000150636",77.1739559942658,-1.20430795060547,0.356220439820435,-3.38079407013406,0.000722766887707006,0.00797835606000191,79839,"CCDC102B","18",68715209,69055189,1,"protein_coding","coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]"
"1004","ENSG00000167114",398.832555658138,0.470899606343373,0.136253653534739,3.45605122598282,0.000548151137471175,0.00644545728028024,10999,"SLC27A4","9",128340646,128361470,1,"protein_coding","solute carrier family 27 (fatty acid transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:10998]"
"630","ENSG00000136999",446.971397273606,-2.60283206536173,0.336914166103807,-7.72550497196895,1.11410792503763e-14,1.41791298526848e-12,4856,"NOV","8",119416306,119424353,1,"protein_coding","nephroblastoma overexpressed [Source:HGNC Symbol;Acc:HGNC:7885]"
"566","ENSG00000132740",321.815140480919,1.10595080035978,0.278304735506595,3.97388423285945,7.07099414065903e-05,0.00118000992434633,3508,"IGHMBP2","11",68903842,68940602,1,"protein_coding","immunoglobulin mu binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5542]"
"570","ENSG00000133121",1034.18962663301,0.708181534221751,0.173117328563376,4.09076052697114,4.29960916129647e-05,0.000763394850502169,90627,"STARD13","13",33103135,33350630,-1,"protein_coding","StAR-related lipid transfer (START) domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]"
"759","ENSG00000147883",499.332689955116,-1.43853475912789,0.271721148848305,-5.29415823989094,1.19565867854109e-07,4.29105466504854e-06,1030,"CDKN2B","9",22002903,22009363,-1,"protein_coding","cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) [Source:HGNC Symbol;Acc:HGNC:1788]"
"918","ENSG00000163378",1766.41416177331,1.28849167326836,0.194583650922211,6.62178794139012,3.54879921644832e-11,2.6607209966886e-09,285203,"EOGT","3",68975214,69013961,-1,"protein_coding","EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:28526]"
"1204","ENSG00000183496",190.04571921043,-1.67687136955545,0.40893777750226,-4.10055382947883,4.12162545248462e-05,0.000736977774237067,84206,"MEX3B","15",82041778,82046141,-1,"protein_coding","mex-3 RNA binding family member B [Source:HGNC Symbol;Acc:HGNC:25297]"
"259","ENSG00000102996",168.083826031282,1.26887064362883,0.30784901766477,4.12173036397524,3.76037183745347e-05,0.000681230041605656,4324,"MMP15","16",58025566,58046901,1,"protein_coding","matrix metallopeptidase 15 (membrane-inserted) [Source:HGNC Symbol;Acc:HGNC:7161]"
"903","ENSG00000162643",93.6536541505661,-1.7002286430134,0.363000256856859,-4.68382214859932,2.81574349238734e-06,7.03703551026506e-05,126820,"WDR63","1",84999147,85133138,1,"protein_coding","WD repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:30711]"
"1167","ENSG00000179222",4891.79128051872,-0.733257365577947,0.134854218467381,-5.43740769781933,5.40613400097609e-08,2.08335621996903e-06,9500,"MAGED1","X",51803007,51902357,1,"protein_coding","melanoma antigen family D1 [Source:HGNC Symbol;Acc:HGNC:6813]"
"713","ENSG00000143869",321.543285730357,1.81393821902522,0.416626129445434,4.35387531127665,1.3375180103844e-05,0.000278305875341209,151449,"GDF7","2",20666664,20679245,1,"protein_coding","growth differentiation factor 7 [Source:HGNC Symbol;Acc:HGNC:4222]"
"909","ENSG00000162878",1601.7843157763,1.53136253378803,0.31435562276377,4.87143357044009,1.10791414211975e-06,3.01787044647546e-05,91461,"PKDCC","2",42048020,42058528,1,"protein_coding","protein kinase domain containing, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:25123]"
